hive,path,value,type,data
HKLM,Software\Policies\Microsoft\Internet Explorer\PhishingFilter,PreventOverrideAppRepUnknown,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\PhishingFilter,EnabledV9,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Security\ActiveX,BlockNonAdminActiveXInstall,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,Security_zones_map_edit,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,Security_options_edit,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,Security_HKLM_only,DWord,1
HKLM,Software\Policies\Microsoft\Windows\AxInstaller,OnlyUseAXISForActiveXInstall,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Restrictions,NoCrashDetection,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Security,DisableSecuritySettingsCheck,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,PreventIgnoreCertErrors,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Download,RunInvalidSignatures,DWord,0
HKLM,Software\Policies\Microsoft\Internet Explorer\Main,DisableEPMCompat,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,CertificateRevocation,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Download,CheckExeSignatures,String,yes
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,SecureProtocols,DWord,2560
HKLM,Software\Policies\Microsoft\Internet Explorer\Main,Isolation64Bit,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main,Isolation,String,PMEM
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap,UNCAsIntranet,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,WarnOnBadCertRecving,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1406,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1407,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1802,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2402,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,120b,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,120c,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1206,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2102,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1209,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2103,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,140C,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2200,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,270C,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1001,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1004,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2709,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2708,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,160A,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1201,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1804,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1A00,DWord,65536
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1607,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2004,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2001,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1806,DWord,1
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1409,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2500,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2301,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1809,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,1606,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\3,2101,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\1,270C,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\1,1201,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\1,1C00,DWord,65536
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\0,270C,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\0,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\3,2301,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\1,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\0,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\4,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\4,2301,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Lockdown_Zones\2,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1406,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1400,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2000,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1407,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1802,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1803,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2402,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1608,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,120b,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,120c,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1206,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2102,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1209,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2103,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,140C,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2200,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,270C,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1001,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1004,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2709,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2708,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,160A,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1201,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1C00,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1804,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1A00,DWord,196608
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1607,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2004,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2001,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1200,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1405,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1402,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1806,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1409,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2500,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2301,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1809,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,1606,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\4,2101,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\2,270C,DWord,0
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\2,1201,DWord,3
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings\Zones\2,1C00,DWord,65536
HKLM,Software\Policies\Microsoft\Windows\CurrentVersion\Internet Settings,EnableSSL3Fallback,DWord,0
HKLM,Software\Microsoft\Windows\CurrentVersion\Policies\Ext,RunThisTimeEnabled,DWord,0
HKLM,Software\Microsoft\Windows\CurrentVersion\Policies\Ext,VersionCheckEnabled,DWord,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_HANDLING,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_MIME_SNIFFING,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_DISABLE_MK_PROTOCOL,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SECURITYBAND,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,iexplore.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,(Reserved),String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,explorer.exe,String,1
HKLM,Software\Policies\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,iexplore.exe,String,1
