hive,path,value
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fAllowUnsolicitedFullControl"
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","MaxTicketExpiryUnits"
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","MaxTicketExpiry"
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fUseMailto"
"HKLM","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fAllowFullControl"
"HKLM","SOFTWARE\Policies\Microsoft\FVE","FDVAllowedHardwareEncryptionAlgorithms"
"HKLM","SOFTWARE\Policies\Microsoft\FVE","OSAllowedHardwareEncryptionAlgorithms"
"HKLM","SOFTWARE\Policies\Microsoft\AppHVSI","CertificateThumbprints"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging","EnableScriptBlockInvocationLogging"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","ScheduledInstallFirstWeek"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","ScheduledInstallFourthWeek"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","AutomaticMaintenanceEnabled"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","AllowMUUpdateService"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","ScheduledInstallSecondWeek"
"HKLM","SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\AU","ScheduledInstallThirdWeek"
"HKLM","Software\Policies\Microsoft\Windows\WindowsUpdate","ManagePreviewBuildsPolicyValue"
