"Name","Status","StartType"
"irmon","stopped","disabled"
"AppIDSvc","stopped","disabled"
"Browser","stopped","disabled"
"DiagTrack","stopped","disabled"
"SharedAccess","stopped","disabled"
"RpcLocator","stopped","disabled"
"RemoteAccess","stopped","disabled"
"seclogon","stopped","disabled"
"SSDPSRV","stopped","disabled"
"upnphost","stopped","disabled"
"WMPNetworkSvc","stopped","disabled"
"icssvc","stopped","disabled"
"XboxGipSvc","stopped","disabled"
"XblAuthManager","stopped","disabled"
"XblGameSave","stopped","disabled"
"XboxNetApiSvc","stopped","disabled"
